time,BTC,DOGE,ETH,MATIC,LTC,EOS,XRP,BNB,XTZ,XLM,ADA,SOL,BTC_lag1,DOGE_lag1,ETH_lag1,MATIC_lag1,LTC_lag1,EOS_lag1,XRP_lag1,BNB_lag1,XTZ_lag1,XLM_lag1,ADA_lag1,SOL_lag1
2021-06-22 00:00:00,33312.87,0.2161,1998.75,1.231,133.01,3.765,0.6494,290.75,2.658,0.2591,1.263,28.78,35760.61,0.281,2259.39,1.409,155.42,4.524,0.7798,341.85,3.097,0.3023,1.436,35.47
2021-06-23 00:00:00,34831.93,0.2471,2044.91,1.249,135.35,3.807,0.6648,300.21,2.784,0.2698,1.309,32.92,33312.87,0.2161,1998.75,1.231,133.01,3.765,0.6494,290.75,2.658,0.2591,1.263,28.78
2021-06-24 00:00:00,35267.23,0.2688,2034.57,1.239,137.34,3.926,0.6913,318.88,2.842,0.2732,1.399,32.97,34831.93,0.2471,2044.91,1.249,135.35,3.807,0.6648,300.21,2.784,0.2698,1.309,32.92
2021-06-25 00:00:00,35494.5,0.289,2019.45,1.231,138.36,4.023,0.6888,314.62,2.877,0.2742,1.394,32.97,35267.23,0.2688,2034.57,1.239,137.34,3.926,0.6913,318.88,2.842,0.2732,1.399,32.97
2021-06-26 00:00:00,32680.58,0.255,1851.36,1.101,129.32,3.656,0.6323,290.1,2.619,0.2493,1.29,30.01,35494.5,0.289,2019.45,1.231,138.36,4.023,0.6888,314.62,2.877,0.2742,1.394,32.97
2021-06-27 00:00:00,34754.5,0.2665,1984.58,1.113,132.63,3.779,0.6522,310.13,2.628,0.2596,1.347,31.92,32680.58,0.255,1851.36,1.101,129.32,3.656,0.6323,290.1,2.619,0.2493,1.29,30.01
2021-06-28 00:00:00,35292.57,0.2662,2143.6,1.163,139.52,3.944,0.6563,296.83,2.736,0.2695,1.349,34.29,34754.5,0.2665,1984.58,1.113,132.63,3.779,0.6522,310.13,2.628,0.2596,1.347,31.92
2021-06-29 00:00:00,36624.75,0.275,2245.38,1.248,149.18,4.291,0.7322,311.59,2.989,0.2936,1.42,35.86,35292.57,0.2662,2143.6,1.163,139.52,3.944,0.6563,296.83,2.736,0.2695,1.349,34.29
2021-06-30 00:00:00,36090.37,0.2635,2287.05,1.181,146.73,4.3,0.7135,304.88,3.044,0.2859,1.399,35.98,36624.75,0.275,2245.38,1.248,149.18,4.291,0.7322,311.59,2.989,0.2936,1.42,35.86
2021-07-01 00:00:00,35065.41,0.2591,2277.05,1.168,144.35,4.206,0.706,303.92,3.064,0.2844,1.385,35.56,36090.37,0.2635,2287.05,1.181,146.73,4.3,0.7135,304.88,3.044,0.2859,1.399,35.98
2021-07-02 00:00:00,33968.47,0.2482,2159.25,1.108,138.96,4.003,0.6672,290.62,2.977,0.2733,1.395,34.09,35065.41,0.2591,2277.05,1.168,144.35,4.206,0.706,303.92,3.064,0.2844,1.385,35.56
2021-07-03 00:00:00,34944.91,0.25,2238.77,1.144,141.31,4.063,0.6844,303.12,3.027,0.2699,1.442,35.38,33968.47,0.2482,2159.25,1.108,138.96,4.003,0.6672,290.62,2.977,0.2733,1.395,34.09
2021-07-04 00:00:00,35945.36,0.2525,2387.73,1.179,147.98,4.186,0.709,314.86,3.108,0.2722,1.494,35.51,34944.91,0.25,2238.77,1.144,141.31,4.063,0.6844,303.12,3.027,0.2699,1.442,35.38
2021-07-05 00:00:00,35290.8,0.2466,2323.53,1.149,144.95,4.062,0.696,307.82,3.041,0.2681,1.461,34.48,35945.36,0.2525,2387.73,1.179,147.98,4.186,0.709,314.86,3.108,0.2722,1.494,35.51
2021-07-06 00:00:00,35096.65,0.2419,2349.66,1.164,142.68,4.007,0.6795,322.58,2.984,0.2679,1.456,35.04,35290.8,0.2466,2323.53,1.149,144.95,4.062,0.696,307.82,3.041,0.2681,1.461,34.48
2021-07-07 00:00:00,35066.82,0.2381,2408.53,1.177,142.88,3.98,0.6736,339.76,2.964,0.2658,1.44,38.1,35096.65,0.2419,2349.66,1.164,142.68,4.007,0.6795,322.58,2.984,0.2679,1.456,35.04
